       c_name       | c_custkey | o_orderkey | o_orderdate | o_totalprice |  sum   
--------------------+-----------+------------+-------------+--------------+--------
 Customer#003427867 |   3427867 |  130828513 | 1996-07-30  |    566705.96 | 318.00
 Customer#000679843 |    679843 |   23245603 | 1994-11-22  |    551041.53 | 321.00
 Customer#002137219 |   2137219 |    2199712 | 1996-09-30  |    546394.01 | 327.00
 Customer#002888333 |   2888333 |   85901154 | 1995-10-21  |    545931.80 | 318.00
 Customer#004751677 |   4751677 |  129206949 | 1993-05-28  |    543874.27 | 316.00
 Customer#004120996 |   4120996 |   42290181 | 1997-11-26  |    542630.53 | 318.00
 Customer#003897457 |   3897457 |  157723879 | 1992-01-06  |    542324.53 | 320.00
 Customer#000518956 |    518956 |  163797542 | 1997-08-29  |    540199.88 | 326.00
 Customer#001077280 |   1077280 |  121537028 | 1993-02-05  |    537988.57 | 322.00
 Customer#001357673 |   1357673 |  165508548 | 1994-03-16  |    533492.65 | 328.00
 Customer#004261918 |   4261918 |  181884290 | 1997-01-27  |    532245.66 | 323.00
 Customer#002369570 |   2369570 |   87006309 | 1992-11-21  |    530336.02 | 320.00
 Customer#004059646 |   4059646 |    4702759 | 1994-11-07  |    527847.98 | 320.00
 Customer#004048261 |   4048261 |  150484993 | 1992-08-05  |    527742.47 | 318.00
 Customer#004475284 |   4475284 |   90068066 | 1992-07-25  |    527583.96 | 323.00
 Customer#003457960 |   3457960 |  168325600 | 1994-05-15  |    523091.09 | 322.00
 Customer#000162188 |    162188 |  116567399 | 1992-03-21  |    522880.56 | 319.00
 Customer#002426551 |   2426551 |   92995713 | 1993-12-18  |    522804.06 | 325.00
 Customer#001460128 |   1460128 |   58000519 | 1996-01-17  |    522211.82 | 325.00
 Customer#003821542 |   3821542 |  137209030 | 1993-07-14  |    521964.74 | 323.00
 Customer#000547817 |    547817 |  109528547 | 1998-07-18  |    521955.12 | 324.00
 Customer#002626693 |   2626693 |  100999781 | 1997-04-12  |    520830.61 | 317.00
 Customer#004373320 |   4373320 |   94223492 | 1995-12-26  |    520789.65 | 326.00
 Customer#003865948 |   3865948 |  184564355 | 1996-09-20  |    520399.20 | 335.00
 Customer#001873231 |   1873231 |   74270531 | 1997-05-12  |    520329.44 | 320.00
 Customer#001675729 |   1675729 |   32393895 | 1993-08-09  |    520163.31 | 316.00
 Customer#004557319 |   4557319 |   48395044 | 1994-06-03  |    519864.12 | 316.00
 Customer#001171784 |   1171784 |    4806726 | 1995-01-17  |    517689.17 | 328.00
 Customer#003862619 |   3862619 |   34201984 | 1997-06-18  |    517342.55 | 322.00
 Customer#003787568 |   3787568 |  125865702 | 1992-04-10  |    517026.59 | 317.00
 Customer#001892690 |   1892690 |   55799200 | 1996-02-11  |    515236.35 | 327.00
 Customer#003465163 |   3465163 |  172797989 | 1994-04-17  |    514360.13 | 322.00
 Customer#002567644 |   2567644 |  126695847 | 1995-08-02  |    513985.58 | 317.00
 Customer#000610589 |    610589 |  146233667 | 1992-02-08  |    513403.75 | 320.00
 Customer#002256380 |   2256380 |  138606375 | 1997-07-24  |    513154.97 | 318.00
 Customer#001736948 |   1736948 |   64315239 | 1992-08-13  |    511756.55 | 317.00
 Customer#001246312 |   1246312 |   21135524 | 1992-11-22  |    511238.80 | 320.00
 Customer#004099831 |   4099831 |    4722021 | 1994-04-07  |    511227.67 | 323.00
 Customer#000304273 |    304273 |  169006247 | 1993-11-02  |    510266.48 | 318.00
 Customer#004312813 |   4312813 |  175859779 | 1997-04-14  |    509859.74 | 325.00
 Customer#002987231 |   2987231 |  181603460 | 1996-02-04  |    509233.20 | 318.00
 Customer#004500119 |   4500119 |  175499810 | 1995-10-05  |    508467.24 | 326.00
 Customer#002255867 |   2255867 |   77585543 | 1995-11-18  |    508410.91 | 321.00
 Customer#004503587 |   4503587 |  112968292 | 1994-06-23  |    507758.61 | 317.00
 Customer#001932982 |   1932982 |  128132768 | 1994-01-06  |    507345.30 | 319.00
 Customer#001914733 |   1914733 |   56497062 | 1998-04-28  |    507231.74 | 320.00
 Customer#003283669 |   3283669 |  188854305 | 1995-10-09  |    502992.45 | 323.00
 Customer#003926020 |   3926020 |   65178529 | 1997-03-31  |    502565.79 | 322.00
 Customer#003195152 |   3195152 |   51532000 | 1992-10-27  |    502169.88 | 319.00
 Customer#002731933 |   2731933 |   15071267 | 1994-10-22  |    501973.85 | 317.00
 Customer#003525610 |   3525610 |   46794464 | 1992-04-28  |    501962.15 | 320.00
 Customer#001479148 |   1479148 |  189357922 | 1992-07-27  |    500942.59 | 320.00
 Customer#003291700 |   3291700 |  102563013 | 1994-11-09  |    500890.49 | 317.00
 Customer#000366760 |    366760 |   59930883 | 1997-05-17  |    500618.99 | 319.00
 Customer#000609181 |    609181 |  182387719 | 1995-05-11  |    499525.79 | 322.00
 Customer#000581194 |    581194 |   17457767 | 1993-06-05  |    499405.82 | 316.00
 Customer#001621276 |   1621276 |   65003587 | 1992-02-15  |    499116.99 | 318.00
 Customer#003016720 |   3016720 |   48881602 | 1993-09-19  |    498645.78 | 327.00
 Customer#002653169 |   2653169 |   85266340 | 1998-05-31  |    498621.00 | 318.00
