       c_name       | c_custkey | o_orderkey | o_orderdate | o_totalprice |  sum   
--------------------+-----------+------------+-------------+--------------+--------
 Customer#000066835 |     66835 |   17366275 | 1998-01-14  |    539704.09 | 316.00
 Customer#000538331 |    538331 |   18449123 | 1993-09-30  |    537736.85 | 313.00
 Customer#000155789 |    155789 |   21135524 | 1992-11-22  |    532920.05 | 320.00
 Customer#000512479 |    512479 |    4722021 | 1994-04-07  |    518421.75 | 323.00
 Customer#000472225 |    472225 |   19217698 | 1993-03-26  |    513954.57 | 316.00
 Customer#000084982 |     84982 |   23245603 | 1994-11-22  |    512795.59 | 321.00
 Customer#000392584 |    392584 |   20971013 | 1997-08-12  |    512586.96 | 322.00
 Customer#000025744 |     25744 |    7235014 | 1998-03-09  |    512289.91 | 323.00
 Customer#000267154 |    267154 |    2199712 | 1996-09-30  |    508120.89 | 327.00
 Customer#000266158 |    266158 |    7810823 | 1998-01-05  |    504801.93 | 324.00
 Customer#000072650 |     72650 |   17457767 | 1993-06-05  |    503899.82 | 316.00
 Customer#000081542 |     81542 |   20324257 | 1996-09-10  |    499799.65 | 314.00
 Customer#000035179 |     35179 |   10805828 | 1997-07-29  |    498871.97 | 316.00
 Customer#000228661 |    228661 |   21213895 | 1992-01-03  |    497703.86 | 327.00
 Customer#000385234 |    385234 |   13683589 | 1995-06-08  |    492119.14 | 313.00
 Customer#000446252 |    446252 |   13165024 | 1992-06-29  |    490910.82 | 318.00
 Customer#000595538 |    595538 |    2942469 | 1992-05-31  |    479358.82 | 313.00
 Customer#000442531 |    442531 |   23906277 | 1997-03-20  |    473662.29 | 314.00
 Customer#000146473 |    146473 |    4806726 | 1995-01-17  |    473334.26 | 328.00
 Customer#000043927 |     43927 |   10408580 | 1994-09-03  |    471162.32 | 320.00
 Customer#000050480 |     50480 |   23861472 | 1997-10-30  |    464995.76 | 314.00
 Customer#000057941 |     57941 |   11599171 | 1998-03-22  |    462491.42 | 316.00
 Customer#000458453 |    458453 |   20662370 | 1992-07-22  |    460383.77 | 315.00
 Customer#000507457 |    507457 |    4702759 | 1994-11-07  |    459892.86 | 320.00
 Customer#000552119 |    552119 |   13837220 | 1994-09-07  |    456716.06 | 316.00
 Customer#000465364 |    465364 |   11141606 | 1997-09-28  |    455604.00 | 325.00
 Customer#000479953 |    479953 |    1544643 | 1997-09-20  |    451652.63 | 320.00
 Customer#000578465 |    578465 |    3043270 | 1997-02-12  |    451632.69 | 317.00
 Customer#000413099 |    413099 |    7062629 | 1992-06-27  |    450302.67 | 313.00
 Customer#000578114 |    578114 |   17927718 | 1996-08-27  |    450010.66 | 314.00
 Customer#000141305 |    141305 |   22017989 | 1996-06-17  |    446980.12 | 318.00
 Customer#000290239 |    290239 |    9506693 | 1993-07-20  |    438216.24 | 314.00
 Customer#000588787 |    588787 |    1263015 | 1997-02-02  |    437074.89 | 320.00
 Customer#000341492 |    341492 |   15071267 | 1994-10-22  |    435706.31 | 317.00
 Customer#000483931 |    483931 |   12314084 | 1994-05-16  |    433739.84 | 325.00
 Customer#000026197 |     26197 |    7549735 | 1994-06-30  |    431333.64 | 315.00
 Customer#000432724 |    432724 |    8075589 | 1996-08-23  |    428545.67 | 316.00
 Customer#000062476 |     62476 |    3767271 | 1996-08-07  |    428367.16 | 318.00
 Customer#000192343 |    192343 |   12809282 | 1994-05-21  |    427942.54 | 314.00
 Customer#000471671 |    471671 |    2869152 | 1996-06-20  |    426890.01 | 317.00
 Customer#000193036 |    193036 |   20649506 | 1995-06-20  |    414577.03 | 313.00
 Customer#000043762 |     43762 |   10612710 | 1995-02-05  |    413858.41 | 319.00
 Customer#000252479 |    252479 |   12378086 | 1995-03-13  |    413843.16 | 320.00
 Customer#000162898 |    162898 |   19628135 | 1992-01-03  |    412704.90 | 315.00
(44 rows)

