          s_name           | numwait 
---------------------------+---------
 Supplier#000007270        |      22
 Supplier#000000870        |      20
 Supplier#000000458        |      18
 Supplier#000003336        |      18
 Supplier#000007715        |      18
 Supplier#000009211        |      18
 Supplier#000001718        |      17
 Supplier#000004837        |      17
 Supplier#000008117        |      17
 Supplier#000003698        |      16
 Supplier#000003955        |      16
 Supplier#000005379        |      16
 Supplier#000005743        |      16
 Supplier#000008339        |      16
 Supplier#000008534        |      16
 Supplier#000000292        |      15
 Supplier#000001584        |      15
 Supplier#000002261        |      15
 Supplier#000003578        |      15
 Supplier#000003810        |      15
 Supplier#000003846        |      15
 Supplier#000005289        |      15
 Supplier#000005308        |      15
 Supplier#000006226        |      15
 Supplier#000006402        |      15
 Supplier#000006430        |      15
 Supplier#000006951        |      15
 Supplier#000008422        |      15
 Supplier#000009738        |      15
 Supplier#000000444        |      14
 Supplier#000000731        |      14
 Supplier#000000823        |      14
 Supplier#000002575        |      14
 Supplier#000002914        |      14
 Supplier#000004697        |      14
 Supplier#000005449        |      14
 Supplier#000007213        |      14
 Supplier#000007219        |      14
 Supplier#000007229        |      14
 Supplier#000008025        |      14
 Supplier#000008386        |      14
 Supplier#000008829        |      14
 Supplier#000008939        |      14
 Supplier#000009065        |      14
 Supplier#000009535        |      14
 Supplier#000000026        |      13
 Supplier#000000320        |      13
 Supplier#000000400        |      13
 Supplier#000000984        |      13
 Supplier#000001301        |      13
 Supplier#000001429        |      13
 Supplier#000001432        |      13
 Supplier#000001448        |      13
 Supplier#000002435        |      13
 Supplier#000003042        |      13
 Supplier#000003818        |      13
 Supplier#000003837        |      13
 Supplier#000004174        |      13
 Supplier#000005103        |      13
 Supplier#000005240        |      13
 Supplier#000006579        |      13
 Supplier#000006730        |      13
 Supplier#000007677        |      13
 Supplier#000008306        |      13
 Supplier#000008349        |      13
 Supplier#000008910        |      13
 Supplier#000008974        |      13
 Supplier#000009288        |      13
 Supplier#000009332        |      13
 Supplier#000009403        |      13
 Supplier#000000100        |      12
 Supplier#000000453        |      12
 Supplier#000000713        |      12
 Supplier#000000767        |      12
 Supplier#000001090        |      12
 Supplier#000001491        |      12
 Supplier#000001607        |      12
 Supplier#000001785        |      12
 Supplier#000002071        |      12
 Supplier#000002077        |      12
 Supplier#000002215        |      12
 Supplier#000002350        |      12
 Supplier#000002649        |      12
 Supplier#000002976        |      12
 Supplier#000003805        |      12
 Supplier#000004066        |      12
 Supplier#000004099        |      12
 Supplier#000004104        |      12
 Supplier#000004599        |      12
 Supplier#000004791        |      12
 Supplier#000005572        |      12
 Supplier#000005778        |      12
 Supplier#000005956        |      12
 Supplier#000006348        |      12
 Supplier#000006489        |      12
 Supplier#000007359        |      12
 Supplier#000007906        |      12
 Supplier#000008377        |      12
 Supplier#000008523        |      12
 Supplier#000008642        |      12
(100 rows)

